Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2011/053062,Probation: Construction Of Office/Non-Residential And Residential Buildings; Water Supplies And Sewerage; Other Infrastructure And Civil Works In Siaya Girls,"8,300,000",Unspecified,Government of Kenya,07/01/2009,07/01/2009,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053064,Construction Of &Nbsp;A Trainee Waiting Bay,"5,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Terminated
2011/053065,Completion Of Prisoners Ward In (Shimo Annex Prison),"3,350,000",GoK; Unspecified,Government of Kenya,07/01/2008,,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053066,Pstc- Dispensary,"750,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053071,Pstc- Generators And Washing Machines,"5,000,000",GoK,Government of Kenya,07/01/2009,08/03/2009,10 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053073,Refurbishment Of &Nbsp;Non-Residential Buildings In Nyando - &Nbsp;Probation,"2,250,000",Unspecified,Government of Kenya,07/01/2008,07/01/2008,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053075,Construction Of An Executive Wing At The Pstc,"23,500,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053083,Refurbishment &Nbsp;Of The Staff Houses In Ruiru Prison,"2,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,31/07/2009,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Terminated
2011/053084,Rri Housing Project For Staff (Shimo Annex Prison),"2,200,000",GoK; Unspecified,Government of Kenya,07/01/2008,,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053087,Ruiru Prison- Social Center,"4,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053088,Construction Of A Perimeter Wall In Ruiru Prison,"1,620,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/053095,Nyahururu Prison - Fencing,"1,600,000",GoK,Government of Kenya,07/01/2009,08/03/2009,9 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053096,Construction Of A Septic Tank At The Nyahururu Prison,"1,500,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Terminated
2011/053103,Kamiti Main Prison- Dog Kennel,"800,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2011/053106,Kamiti Main Prison Remand Block,"5,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,22 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Terminated
